# Loaded config: /home/cstansbu/git_repositories/cell_cycle/pipelines/TrajectoryNet/config.yaml
adata: /nfs/turbo/umms-indikar/shared/projects/HSC/pipeline_outputs/integrated_anndata/cell_cycle/inputs/adata.h5ad
input: /nfs/turbo/umms-indikar/shared/projects/HSC/pipeline_outputs/integrated_anndata/cell_cycle/inputs/input_15comp_6time.npz
output: /nfs/turbo/umms-indikar/shared/projects/HSC/pipeline_outputs/integrated_anndata/cell_cycle/outputs
integration_args:
  times:
  - 10
  - 100
  - 200
args:
  dataset: /nfs/turbo/umms-indikar/shared/projects/HSC/pipeline_outputs/integrated_anndata/cell_cycle/inputs/input_15comp_6time.npz
  embedding_name: pca
  save: /nfs/turbo/umms-indikar/shared/projects/HSC/pipeline_outputs/integrated_anndata/cell_cycle/outputs
  niters: 500
  max_dim: 20
  time_scale: 0.5
  use_density: true
  rtol: 1e-4
  atol: 1e-5
  top_k_reg: 1.5
  batch_size: 8192
  vecint: 1e-5
  lr: 1e-2
  whiten: true
  training_noise: 0.0
  weight_decay: 1e-5
==================================================  SETTING UP MODEL  ==================================================
torch=2.7.1 | cuda=12.9 | cudnn=91200 | cuda_available=True
device=cuda:0 / 1 gpus | name=NVIDIA A100 80GB PCIe MIG 3g.40gb
capability=8.0 | mem_free=38.97 GiB / mem_total=39.25 GiB
==================================================  TRAINING  ==================================================
No model compilation.
Density Loss 0.9719290137290955
Density Loss 0.9083830118179321
Density Loss 0.8987194299697876
Density Loss 0.94384765625
Density Loss 0.9481388926506042
Density Loss 0.9733577966690063
Density Loss 0.9701782464981079
Density Loss 0.9361352920532227
Density Loss 0.9550983309745789
Density Loss 0.9289422035217285
Density Loss 0.9196411371231079
Density Loss 0.9177846908569336
Density Loss 0.9403963088989258
Density Loss 0.9270796179771423
Density Loss 0.9621416330337524
Density Loss 0.9584702849388123
Density Loss 0.9615252614021301
Density Loss 0.9547151923179626
Density Loss 0.983869731426239
Density Loss 0.9604911804199219
Density Loss 0.9692997932434082
Density Loss 0.9408928751945496
Density Loss 0.9425907135009766
Density Loss 0.9463006854057312
Density Loss 0.9318342208862305
Density Loss 0.9287161231040955
Density Loss 0.9139577746391296
Density Loss 0.9248995780944824
Density Loss 0.9176267981529236
Density Loss 0.9304613471031189
Density Loss 0.9276172518730164
Density Loss 0.9533077478408813
Density Loss 0.9319822192192078
Density Loss 0.9109366536140442
Density Loss 0.9367095828056335
Density Loss 0.9505123496055603
Density Loss 0.9431089758872986
Density Loss 0.9595935940742493
Density Loss 0.9849374890327454
Density Loss 0.9541801810264587
Density Loss 0.9676098823547363
Density Loss 0.9674332737922668
Density Loss 0.9558495879173279
Density Loss 0.953168511390686
Density Loss 0.951966404914856
